squadra,avversario,home/away,punti,numero della giornata,punti cumulativi,punti avversario,punti cumulativi before match,punti avversario before match,differenza punti before match
West Brom,Newcastle,away,0,90,10,9,10,6,4
Arsenal,Tottenham,home,1,91,20,6,19,5,14
Tottenham,Arsenal,away,1,91,6,20,5,19,-14
Aston Villa,Blackburn,home,3,92,20,12,17,12,5
Blackburn,Aston Villa,away,0,92,12,20,12,17,-5
Bolton,Everton,home,0,93,8,12,8,9,-1
Everton,Bolton,away,3,93,12,8,9,8,1
Fulham,Wigan,home,3,94,11,8,8,8,0
Wigan,Fulham,away,0,94,8,11,8,8,0
Hull,Chelsea,home,0,95,20,23,20,20,0
Chelsea,Hull,away,3,95,23,20,20,20,0
Liverpool,Portsmouth,home,3,96,26,14,23,14,9
Portsmouth,Liverpool,away,0,96,14,26,14,23,-9
Man United,West Ham,home,3,97,18,12,15,12,3
West Ham,Man United,away,0,97,12,18,12,15,-3
Middlesbrough,Man City,home,3,98,13,13,10,13,-3
Man City,Middlesbrough,away,0,98,13,13,13,10,3
Stoke,Sunderland,home,3,99,10,12,7,12,-5
Sunderland,Stoke,away,0,99,12,10,12,7,5
Chelsea,Sunderland,home,3,100,26,12,23,12,11
Sunderland,Chelsea,away,0,100,12,26,12,23,-11
Everton,Fulham,home,3,101,15,11,12,11,1
Fulham,Everton,away,0,101,11,15,11,12,-1
Man United,Hull,home,3,102,21,20,18,20,-2
Hull,Man United,away,0,102,20,21,20,18,2
Middlesbrough,West Ham,home,1,103,14,13,13,12,1
West Ham,Middlesbrough,away,1,103,13,14,12,13,-1
Portsmouth,Wigan,home,0,104,14,11,14,8,6
Wigan,Portsmouth,away,3,104,11,14,8,14,-6
Stoke,Arsenal,home,3,105,13,20,10,20,-10
Arsenal,Stoke,away,0,105,20,13,20,10,10
Tottenham,Liverpool,home,3,106,9,26,6,26,-20
Liverpool,Tottenham,away,0,106,26,9,26,6,20
West Brom,Blackburn,home,1,107,11,13,10,12,-2
Blackburn,West Brom,away,1,107,13,11,12,10,2
Bolton,Man City,home,3,108,11,13,8,13,-5
Man City,Bolton,away,0,108,13,11,13,8,5
Newcastle,Aston Villa,home,3,109,12,20,9,20,-11
Aston Villa,Newcastle,away,0,109,20,12,20,9,11
Arsenal,Man United,home,3,110,23,21,20,21,-1
Man United,Arsenal,away,0,110,21,23,21,20,1
Hull,Bolton,home,0,111,20,14,20,11,9
Bolton,Hull,away,3,111,14,20,11,20,-9
Liverpool,West Brom,home,3,112,29,11,26,11,15
West Brom,Liverpool,away,0,112,11,29,11,26,-15
Sunderland,Portsmouth,home,0,113,12,17,12,14,-2
Portsmouth,Sunderland,away,3,113,17,12,14,12,2
West Ham,Everton,home,0,114,13,18,13,15,-2
